hour,temperature,label
0,5.2483570765056164,0
1,5.2716095865237245,0
2,6.66359023120596,0
3,8.690447116338538,0
4,9.882923312638333,0
5,12.294741070500203,0
6,15.789606407753695,1
7,17.97190781560166,1
8,19.765262807032524,1
9,22.342347833658458,1
10,23.428545191438154,1
11,24.426393386105552,1
12,25.120981135783016,1
13,23.702618140561782,1
14,22.79779512158787,1
15,21.789924047244988,1
16,19.493584439832787,1
17,17.745314117322845,1
18,14.545987962239396,0
19,11.705657698307148,0
20,10.73282438446078,0
21,7.8160440378912615,0
22,6.373510064499579,0
23,4.628367644002589,0
0,4.777808637737409,0
1,5.44620303196425,0
2,5.814249173444463,0
3,8.166781197307362,0
4,9.749680655040597,0
5,12.315962674078154,0
6,14.749146693885303,0
7,18.564329543279676,1
8,20.043251387631035,1
9,21.592212347387527,1
10,24.12152649389598,1
11,24.09883643790517,1
12,25.15443179750238,1
13,23.729423200950794,1
14,23.046161013395174,1
15,22.219498429800037,1
16,20.419233289997706,1
17,17.723874591620195,1
18,14.992175858805883,0
19,12.311257701180148,0
20,9.310739004816291,0
21,7.619010083937175,0
22,6.159426576675722,0
23,5.919302850218775,0
0,5.27180914478423,0
1,4.5592216594279495,0
2,6.601787946853012,0
3,7.836391047926367,0
4,9.761538999847021,0
5,12.817647693395227,0
6,15.615499761247975,1
7,18.153830510583305,1
8,19.680391238388683,1
9,22.01646162393987,1
10,23.92588575354617,1
11,25.247030826451862,1
12,24.860412881077355,1
13,24.666428774558774,1
14,23.207086550841375,1
15,21.57296449982514,1
16,20.5062629111971,1
17,18.366310465310622,1
18,15.063994939209834,1
19,13.013575997920805,0
20,10.28081801252382,0
21,7.706372310831966,0
22,6.6204437649098224,0
23,6.209760020342301,0
0,5.132086980445025,0
1,6.2730635650163205,0
2,5.179873410110742,0
3,8.489883440322137,0
4,10.193523534119086,0
5,12.41230587374186,0
6,15.195880388267751,1
7,16.744405993724758,1
8,20.04016405608124,1
9,22.39962409762135,1
10,24.549201060215143,1
11,24.550123153753855,1
12,24.745753198553405,1
13,24.55837974109841,1
14,24.267955096695424,1
15,22.385443366695316,1
16,19.88511989811648,1
17,17.994824167581886,1
18,15.198538774674022,1
19,13.046132044241238,0
20,9.798973453061327,0
21,7.915101114835645,0
22,6.293691885589538,0
23,4.758984263043258,0
0,5.348060138532288,0
1,5.671269373199262,0
2,6.542302690476845,0
3,8.011638621446952,0
4,9.492314628974793,0
5,12.401486887592112,0
6,15.028642741736615,1
7,17.387051816414395,1
8,20.119357144166994,1
9,22.473093240272743,1
10,24.80334698844965,1
11,24.9465471693066,1
12,25.32877519536138,1
13,24.822035305007596,1
14,22.90086843019487,1
15,22.257810874140866,1
16,20.230115104970512,1
17,19.01981150726785,1
18,15.10381951760944,1
19,12.762583220141599,0
20,10.182644115147381,0
21,7.544593169324763,0
22,7.111157369413127,0
23,5.916708253452704,0
0,5.6455159735215235,0
1,5.136048009711947,0
2,7.291143117623664,0
3,7.478006656738385,0
4,10.543428546900135,0
5,13.757037361879782,0
6,14.754731837434656,0
7,17.55504158622382,1
8,20.29982568254382,1
9,22.069329984807375,1
10,23.13492232231132,1
11,24.943539750293695,1
12,24.71884814313695,1
13,25.14605447820827,1
14,23.45054192072749,1
15,23.096035014374245,1
16,19.858373353831883,1
17,17.67715969292237,1
18,15.656758608684836,1
19,12.046377390757815,0
20,10.363729967302069,0
21,8.832503565275744,0
22,5.7860043448750025,0
23,5.683058666375469,0
0,5.429941397124211,0
1,6.031653172997972,0
2,6.021270606716573,0
3,7.568703881592387,0
4,10.56097078280845,0
5,12.860301885591387,0
6,15.425246425172938,1
7,18.061414555773695,1
8,19.959987639210755,1
9,22.48719466044598,1
10,24.106790274493726,1
11,24.602082553877498,1
12,26.23288725557238,1
13,25.196174723346576,1
14,23.364602289243066,1
15,22.69934461618239,1
16,19.81265916488634,1
17,18.281732752896435,1
18,15.879297789503704,1
19,12.301468389798938,0
20,10.781688064622164,0
21,8.435322651602778,0
22,7.050776042152861,0
23,6.5891382284362905,0
0,5.227305941998565,0
1,5.313873654930572,0
2,6.244988747342853,0
3,7.871027045651806,0
4,10.311449145292947,0
5,12.932385536383114,0
6,15.48834539966501,1
7,18.35178207554322,1
8,20.356500945938954,1
9,23.147834850444134,1
10,23.87792562122541,1
11,26.369342846185493,1
12,25.662833673882506,1
13,24.58067948468254,1
14,23.474807788813834,1
15,22.66230401948707,1
16,20.238268607337076,1
17,18.295190698071256,1
18,15.586618812286774,1
19,12.725395092646355,0
20,9.9266031409658,0
21,7.5215085757915965,0
22,6.466488486122105,0
23,6.1189411342710525,0
0,5.507046872065103,0
1,5.117872347753323,0
2,6.826336425081206,0
3,8.521590877998944,0
4,9.958071281899434,0
5,12.888672101947558,0
6,15.429104359223,1
7,17.416705302109893,1
8,20.57889368017414,1
9,22.751460075049593,1
10,24.601779659432022,1
11,25.58615928890813,1
12,24.711165316021454,1
13,24.590345742933117,1
14,24.317771671448718,1
15,22.727960787321578,1
16,20.657523843153022,1
17,19.914556196352567,1
18,15.685445255346586,1
19,13.379592369065092,0
20,10.877000881746605,0
21,8.654627813787428,0
22,6.582111339835444,0
23,6.120226347355951,0
0,5.063587392731214,0
1,5.672332433739313,0
2,6.5470641882410625,0
3,8.419869257827687,0
4,11.607329283336753,0
5,11.928176952678918,0
6,15.793130095187257,1
7,17.23183251543038,1
8,20.21403406710528,1
9,23.065543110349157,1
10,24.142394047392116,1
11,24.57038587392603,1
12,25.092348145370014,1
13,25.449057137358018,1
14,23.74507072198582,1
15,22.629297106656463,1
16,20.472785919951907,1
17,17.7123902772223,1
18,16.521972044662665,1
19,13.178769060133797,0
20,9.437428706671199,0
21,8.472159345519241,0
22,6.458852729771422,0
23,6.216958404507429,0
0,5.103739630783649,0
1,5.7833735163758675,0
2,7.092239601645843,0
3,8.861809785219586,0
4,9.899851796472111,0
5,12.744558931054318,0
6,15.262527344419523,1
7,17.76152583473835,1
8,21.382727120140547,1
9,22.773558667345952,1
10,23.529812060676864,1
11,25.61818923641807,1
12,26.561078098506318,1
13,25.675490893166256,1
14,23.400569054867383,1
15,22.32895077543235,1
16,21.133455574593313,1
17,17.73435571821582,1
18,15.721909714073115,1
19,13.299126575689462,0
20,10.036534764210963,0
21,8.39916951010363,0
22,5.21911229212108,0
23,5.328547916442172,0
0,5.42371592430342,0
1,5.266850146126893,0
2,7.705951614121432,0
3,7.763861499154209,0
4,10.329977756651509,0
5,13.027179837617838,0
6,16.270636644533056,1
7,17.420259375435485,1
8,21.13158187607748,1
9,22.626184342375268,1
10,23.71949971232041,1
11,25.44031000002232,1
12,25.649529847786734,1
13,24.909149824311285,1
14,24.245155080339398,1
15,22.428411013434594,1
16,20.606758672625624,1
17,18.469255788285732,1
18,16.343008408072677,1
19,12.34290179956137,0
20,11.616516687328138,0
21,7.502888288373278,0
22,6.8138534146378245,0
23,6.184900340351605,0
0,5.740495933867516,0
1,5.62939197719902,0
2,6.835684836976977,0
3,8.282431720805109,0
4,10.305317621527895,0
5,13.436610597485304,0
6,15.778507742982523,1
7,17.84173565339488,1
8,21.049799937716628,1
9,22.824717572303783,1
10,24.666685097263866,1
11,25.57407268385249,1
