x,y
0.0,0.31343202907611983
0.10101010101010101,-0.012638963878347398
0.20202020202020202,0.154182075985066
0.30303030303030304,-0.9618501265536102
0.40404040404040403,1.6838648336729451
0.5050505050505051,1.3915500282728424
0.6060606060606061,0.6108069039399115
0.7070707070707071,1.371354659107304
0.8080808080808081,1.1768072099593976
0.9090909090909091,0.7767972072364777
1.0101010101010102,1.7966414807766315
1.1111111111111112,1.1247771831156195
1.2121212121212122,1.2148268696864344
1.3131313131313131,1.0378432599159741
1.4141414141414141,1.8871162568859274
1.5151515151515151,1.6556326841210822
1.6161616161616161,2.143334844540425
1.7171717171717171,1.5528602972493348
1.8181818181818181,2.09427852644894
1.9191919191919191,1.583827493134045
2.0202020202020203,2.725081003624106
2.121212121212121,2.434033173400533
2.2222222222222223,2.620564827103418
2.323232323232323,2.769534671014481
2.4242424242424243,2.017787924150424
2.525252525252525,3.1951611229389716
2.6262626262626263,4.060284317268048
2.727272727272727,1.9442072253314122
2.8282828282828283,1.9906359479901397
2.929292929292929,2.2263940809743374
3.0303030303030303,3.7351783663754303
3.131313131313131,3.4085425257975723
3.2323232323232323,4.079328696766812
3.3333333333333335,3.9667918567178333
3.4343434343434343,3.7606865217686027
3.5353535353535355,3.905776422503758
3.6363636363636362,3.734507337729755
3.7373737373737375,4.458449864100643
3.8383838383838382,3.3605542613153854
3.9393939393939394,3.88627864368695
4.040404040404041,4.386167352263282
4.141414141414141,5.422266656483741
4.242424242424242,3.9837457729920027
4.343434343434343,3.895998067952178
4.444444444444445,4.306472125342022
4.545454545454545,5.327017866137442
4.646464646464646,4.705461342329551
4.747474747474747,5.742082959016922
4.848484848484849,3.9249671379212345
4.94949494949495,5.826608834635237
5.05050505050505,5.871424794462774
5.151515151515151,4.500315737634261
5.252525252525253,5.544674384446828
5.353535353535354,6.2829899346520754
5.454545454545454,5.707296879931167
5.555555555555555,6.355376408846624
5.656565656565657,7.281497804555943
5.757575757575758,6.121935110331156
5.858585858585858,5.8903564702200955
5.959595959595959,5.696964663704241
6.0606060606060606,6.649444821532752
6.161616161616162,6.243578121801527
6.262626262626262,6.3553784401498215
6.363636363636363,6.500480496587344
6.4646464646464645,7.054568256197761
6.565656565656566,6.125852798357618
6.666666666666667,5.948740772264333
6.767676767676767,5.507350749387404
6.8686868686868685,7.787889408320916
6.96969696969697,7.213972985446929
7.070707070707071,8.17677871858048
7.171717171717171,7.366343392850932
7.2727272727272725,7.027433999607767
7.373737373737374,7.8604949530171675
7.474747474747475,7.6287944269851575
7.575757575757575,7.0232455785733965
7.6767676767676765,7.345727727897214
7.777777777777778,9.037845368268531
7.878787878787879,8.291398235981994
7.979797979797979,8.429629900816085
8.080808080808081,8.114877049815474
8.181818181818182,7.967986443558526
8.282828282828282,9.017821772170842
8.383838383838384,8.521062512234169
8.484848484848484,8.229383617799726
8.585858585858587,8.705381474248856
8.686868686868687,8.343505076835275
8.787878787878787,9.101906291033453
8.88888888888889,9.766425466930313
8.98989898989899,8.688247890213042
9.09090909090909,10.148035494011559
9.191919191919192,8.991347222722316
9.292929292929292,9.584976590563656
9.393939393939394,9.092107478756882
9.494949494949495,9.561608395136894
9.595959595959595,9.82440224345607
9.696969696969697,9.63615872926564
9.797979797979798,9.576247060636295
9.8989898989899,9.692258184591703
10.0,9.707304030449484
